Material ID,Polymer Name (Formula),Decomposition Energy (eV/atom),Density (g/cm³),Thermal Conductivity (W/m·K),Heat Capacity (J/mol·K)
mp-1228969,Ba16Ca2HC12N25O4,N/A,4.284939628956469,N/A,N/A
mp-1203356,HC2SClOF2,N/A,1.6255995605285491,N/A,N/A
mp-1199273,CsBHC3OF9,N/A,2.536114847783102,N/A,N/A
mp-1197579,CrHC7NO5F2,N/A,1.555366596620016,N/A,N/A
mp-1214060,CaMg5P3HCO16,N/A,2.910135889009623,N/A,N/A
mp-1225274,FePHC4(OF)3,N/A,1.882454343995736,N/A,N/A
mp-697108,K3HRhC5N5O,N/A,2.171310078670966,N/A,N/A
mp-707466,HC2S2N(O2F3)2,N/A,2.085244848259793,N/A,N/A
mp-643306,HPbCSNO,N/A,4.427125092702363,N/A,N/A
mp-1217613,Ti2HCSe4Cl16O5,N/A,2.148134291188054,N/A,N/A
mp-1201024,Sb2HCSCl6O5F3,N/A,2.532932723638989,N/A,N/A
mp-1209817,ReHCSN2Cl3O,N/A,2.422847299169069,N/A,N/A
mp-1195948,AgHPbC2SN2O,N/A,4.162031309862073,N/A,N/A
mp-995206,H2CO,N/A,1.137173339158092,N/A,N/A
mp-23683,H2CO,N/A,1.361522334613689,N/A,N/A
mp-625082,H2CO,N/A,1.466250487986297,N/A,N/A
mp-1096984,H2CO,N/A,1.440241053471847,N/A,N/A
mp-1181348,H2CO2,N/A,1.3025394365148961,N/A,N/A
mp-558412,H2CO2,N/A,1.421441764714799,N/A,N/A
mp-625104,H2CO2,N/A,1.339696109144191,N/A,N/A
mp-625105,H2CO2,N/A,1.122395381863535,N/A,N/A
mp-555711,H2CO,N/A,1.5807794867035252,N/A,N/A
mp-1001080,H2CO3,N/A,1.707638038611703,N/A,N/A
mp-995226,H2CO,N/A,1.324655153261881,N/A,N/A
mp-559232,H2C3O4,N/A,1.504989408235208,N/A,N/A
mp-1228613,BaH2(CO3)2,N/A,1.7302363041148041,N/A,N/A
mp-644226,BaH2C2O5,N/A,3.2778423639729413,N/A,N/A
mp-1049181,SnH2C4O3,N/A,2.463241004523902,N/A,N/A
mp-1202876,Co2H2CO5,N/A,3.70548254237982,N/A,N/A
mp-1203662,FeH2(CO3)2,N/A,2.093559370406642,N/A,N/A
mp-1203827,CoH2(CO2)2,N/A,1.768367593717137,N/A,N/A
mp-1212515,H2C3N2O3,N/A,1.545867510844175,N/A,N/A
mp-23733,Cu3H2(CO4)2,N/A,3.569560923456768,N/A,N/A
mp-24332,H2C(NO)2,N/A,1.723395833325391,N/A,N/A
mp-504588,Cu2H2CO5,N/A,3.7866115784972143,N/A,N/A
mp-555000,MgH2(CO2)2,N/A,1.3234366486379852,N/A,N/A
mp-557581,ZnH2(CO2)2,N/A,1.806635068113847,N/A,N/A
mp-557769,CaH2C2O5,N/A,2.146358415456268,N/A,N/A
mp-558250,MoH2(CO2)2,N/A,2.4977145949116792,N/A,N/A
mp-601323,MoH2(CO2)2,N/A,2.378972576892652,N/A,N/A
mp-643934,CuH2(CO2)2,N/A,1.271482777429175,N/A,N/A
mp-696986,CsH2CO3,N/A,3.205761384675464,N/A,N/A
mp-698310,SnH2C4O3,N/A,1.965768927207558,N/A,N/A
mp-1227120,CaH2CO4,N/A,2.372131857825012,N/A,N/A
mp-560832,CaH2CO4,N/A,2.352667746221619,N/A,N/A
mp-1204815,CoH2CO3,N/A,2.631122913217535,N/A,N/A
mp-1190598,K2H2C2O5,N/A,2.047480126569177,N/A,N/A
mp-1190751,Cs2H2C2O5,N/A,3.226993106403678,N/A,N/A
mp-1212734,FeH2(CO2)2,N/A,2.145010130410932,N/A,N/A
mp-1214914,BaH2(CO2)4,N/A,2.138431242304921,N/A,N/A
mp-644265,CdH2(CO2)2,N/A,3.013814989141193,N/A,N/A
mp-696298,BH2CO,N/A,0.935765645966765,N/A,N/A
mp-974667,Rb2H2C2O5,N/A,2.774507628968021,N/A,N/A
mp-1197463,H2Pb(CO2)2,N/A,4.261403545861261,N/A,N/A
mp-1200465,H2C(NO)2,N/A,1.731826375156078,N/A,N/A
mp-1201866,H2C4(OF2)3,N/A,2.0997433889534,N/A,N/A
mp-556478,SrH2(CO2)2,N/A,2.579507614926154,N/A,N/A
mp-601226,BaH2(CO2)2,N/A,2.712234878402488,N/A,N/A
mp-690851,BaH2(CO2)2,N/A,3.125280448892984,N/A,N/A
mp-1215145,Ba2H2C4O9,N/A,3.157187389809125,N/A,N/A
mp-600347,H2Os3(CO)10,N/A,3.395002257716926,N/A,N/A
mp-720808,H2Ru6(CO)17,N/A,2.722326402197006,N/A,N/A
mp-721193,H2Ru4(CO)13,N/A,2.452517534817598,N/A,N/A
mp-758103,YH2(CO3)2,N/A,2.44698783508004,N/A,N/A
mp-995221,H2CSO4,N/A,1.836388394178811,N/A,N/A
mp-1197697,MgH2(CO2)2,N/A,1.6416794177207201,N/A,N/A
mp-721312,Na2H2CO4,N/A,2.229805744514202,N/A,N/A
mp-1222084,Mn4H2C8O17,N/A,2.497463679021849,N/A,N/A
mp-644256,LiH2CO3,N/A,1.424250517163792,N/A,N/A
mp-1193268,Cu3H2(CO4)2,N/A,3.6239750270094433,N/A,N/A
mp-709039,ZnH2(CO2)2,N/A,2.303078616081346,N/A,N/A
mp-1227189,CaH2C2O5,N/A,2.056294925918164,N/A,N/A
mp-558013,MnH2(CO2)2,N/A,2.198462759836408,N/A,N/A
mp-1201042,CuH2(CO2)2,N/A,2.474570555640317,N/A,N/A
mp-23685,CaH2(CO2)2,N/A,1.9216827110785912,N/A,N/A
mp-601287,CuH2(CO2)2,N/A,2.167205236878421,N/A,N/A
mp-655052,CuH2(CO2)2,N/A,2.364080672343429,N/A,N/A
mp-707727,H2C2N2O,N/A,1.346395573746341,N/A,N/A
mp-707849,H2Os5(CO)16,N/A,3.693786173949759,N/A,N/A
mp-698287,YH2C4O9,N/A,1.8870268558688341,N/A,N/A
mp-1197098,SrH2(CO2)2,N/A,2.145612681294396,N/A,N/A
mp-560210,CaH2(CO2)2,N/A,1.887126400860181,N/A,N/A
mp-560511,CaH2(CO2)2,N/A,1.919910402262718,N/A,N/A
mp-1201340,UP2H2CO13,N/A,2.823207167327909,N/A,N/A
mp-734875,H2Pb4C(Cl3O2)2,N/A,5.546320394723845,N/A,N/A
mp-1190805,CeP2H2CO6,N/A,3.531412509510844,N/A,N/A
mp-1190971,PrP2H2CO6,N/A,3.407770153470342,N/A,N/A
mp-1191082,NdP2H2CO6,N/A,3.490801511467202,N/A,N/A
mp-1191399,LaP2H2CO6,N/A,3.309762637266723,N/A,N/A
mp-1191555,PuP2H2CO6,N/A,4.728791357872563,N/A,N/A
mp-1191715,SmP2H2CO6,N/A,3.6498341075667833,N/A,N/A
mp-644418,CaH2CClO3,N/A,2.305117294755931,N/A,N/A
mp-760042,MnPH2CO6,N/A,2.6968898002636053,N/A,N/A
mp-727956,MnPH2(CO)4,N/A,1.8439110155241951,N/A,N/A
mp-1182554,Fe2PH2CO7,N/A,2.5832727746716353,N/A,N/A
mp-1195353,NaZnH2C3O7,N/A,2.368333632783376,N/A,N/A
mp-1195487,Na4Cd3H2(C2O7)2,N/A,3.684018441868738,N/A,N/A
mp-1197929,NdH2C2Cl2O9,N/A,2.932938554568547,N/A,N/A
mp-1198873,U2P2H2CO14,N/A,3.795459655045396,N/A,N/A
mp-1200522,Na2LaH2C5O11,N/A,2.522548407360223,N/A,N/A
mp-1200964,PrH2C2Cl2O9,N/A,2.88301219482419,N/A,N/A
mp-1202242,NaMgH2C3O7,N/A,1.957327346414849,N/A,N/A
mp-1204151,Na2CeH2C5O11,N/A,2.579151641006391,N/A,N/A
mp-1210269,NaMnH2C3O7,N/A,2.138802345701962,N/A,N/A
mp-1212361,KH2C4N3O4,N/A,1.088678308203301,N/A,N/A
mp-1215075,AgH2C7O3F5,N/A,2.327300853939073,N/A,N/A
mp-23823,Co2PH2CO7,N/A,3.351733854797458,N/A,N/A
mp-23838,Zn2PH2CO7,N/A,3.422183609046097,N/A,N/A
mp-510517,Fe2PH2CO7,N/A,3.141970990168228,N/A,N/A
mp-557603,K2MoH2(CO4)2,N/A,2.490301462321982,N/A,N/A
mp-559433,K3VH2(CO5)2,N/A,2.3171320021901822,N/A,N/A
